Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
ABHD16B	5.33	4.93	36.94	0.00	54.23	0.00	0.00	0.00	0.00	3.96	2.49	2.87	40.52	8.82	0.00	9.01	2.76	8.88	0.00	4.27	0.00	0.00	8.93	4.57
ABHD17A	15.99	0.00	3.89	26.74	80.71	221.32	0.00	0.00	3.86	0.00	2.49	0.00	28.94	114.71	0.00	175.78	55.22	17.76	96.81	4.27	0.00	8.19	8.93	38.88
ABHD17B	37.31	4.93	38.88	66.86	74.41	0.00	0.00	0.00	15.46	85.11	178.01	28.69	154.35	8.82	0.00	9.01	63.50	112.47	65.16	47.02	0.00	114.65	263.42	41.17
ABHD17C	53.30	0.00	19.44	20.06	23.96	442.63	0.00	0.00	0.00	63.34	1.24	5.74	0.00	44.12	0.00	0.00	2.76	23.68	55.85	132.51	0.00	8.19	0.00	29.73
ABHD2	5.33	4.93	44.72	60.17	85.76	0.00	0.00	484.97	7.73	41.57	2.49	60.25	67.53	70.59	0.00	67.61	30.37	20.72	11.17	12.82	0.00	16.38	4.46	0.00
ABHD3	5.33	4.93	44.72	13.37	2.52	0.00	0.00	0.00	7.73	104.91	3.73	8.61	17.36	0.00	0.00	54.09	74.54	5.92	59.57	4.27	0.00	0.00	0.00	128.08
ABHD4	245.18	177.36	120.54	167.14	157.65	531.16	0.00	0.00	529.40	227.63	154.36	109.03	316.42	123.53	0.00	189.31	369.94	236.78	245.74	461.66	407.83	90.08	58.04	603.83
ABHD5	79.95	0.00	48.60	73.54	30.27	0.00	0.00	0.00	27.05	140.53	0.00	2.87	5.79	0.00	0.00	0.00	35.89	2.96	93.08	0.00	0.00	0.00	4.46	102.93
ABHD6	42.64	0.00	0.00	80.23	8.83	0.00	0.00	0.00	0.00	1.98	2.49	2.87	44.38	0.00	0.00	112.68	0.00	0.00	24.20	4.27	0.00	0.00	8.93	61.76
ABHD8	0.00	0.00	73.88	0.00	3.78	0.00	0.00	0.00	3.86	1.98	1.24	0.00	0.00	0.00	0.00	4.51	16.56	2.96	1.86	0.00	0.00	0.00	4.46	0.00
ABI1	42.64	128.09	23.33	73.54	64.32	0.00	0.00	0.00	65.69	35.63	180.50	34.43	1.93	17.65	0.00	36.06	49.69	186.46	113.56	141.06	0.00	40.95	8.93	112.07
ABI2	181.22	44.34	62.21	100.29	102.15	0.00	0.00	484.97	15.46	215.75	1.24	229.54	221.88	17.65	0.00	180.29	157.36	325.57	230.85	465.94	407.83	245.68	174.12	327.07
ABI3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABI3BP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABL1	5.33	0.00	0.00	6.69	23.96	0.00	0.00	0.00	15.46	0.00	11.20	2.87	0.00	8.82	0.00	0.00	8.28	2.96	31.65	0.00	0.00	16.38	0.00	0.00
ABL2	47.97	0.00	33.05	6.69	81.98	0.00	0.00	0.00	0.00	1.98	2.49	14.35	0.00	0.00	0.00	0.00	126.99	0.00	3.72	4.27	0.00	0.00	4.46	2.29
ABLIM1	5.33	9.85	33.05	100.29	50.45	0.00	0.00	0.00	81.15	162.31	57.26	180.76	0.00	8.82	0.00	4.51	135.28	0.00	3.72	51.30	0.00	24.57	89.29	6.86
ABLIM2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABLIM3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABO	0.00	4.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.96	0.00	51.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABR	5.33	0.00	1.94	0.00	44.14	0.00	0.00	0.00	115.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	4.27	0.00	0.00	4.46	0.00
ABRA	0.00	0.00	206.08	13.37	1.26	0.00	0.00	0.00	0.00	0.00	2.49	0.00	1.93	0.00	0.00	0.00	0.00	0.00	3.72	4.27	0.00	0.00	0.00	0.00
